# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, eM3_max, eM3_min, dA3_over_A0, eM4_max, eM4_min, dA4_over_A0, eM5_max, eM5_min, dA5_over_A0, t_end(PM), wall_time, fate
3.80, 0.00, 0.0000, 1.0000, -1.6525e-02, 0.0000, 1.0000, 5.2784e-03, 0.0000, 1.0000, -5.3841e-02, 0.0000, 1.0000, 1.2869e-01, 0.0000, 1.0000, 3.1198e-03, 1.2576e+01, 0.00909, collision
3.78, 0.00, 0.0000, 1.0000, -1.8582e-02, 0.0000, 1.0000, 7.3643e-03, 0.0000, 1.0000, -2.6828e-02, 0.0000, 1.0000, 8.4652e-02, 0.0000, 1.0000, 3.5704e-03, 1.2717e+01, 0.00929, collision
3.79, 0.00, 0.0000, 1.0000, -1.7442e-02, 0.0000, 1.0000, 6.1249e-03, 0.0000, 1.0000, -5.1129e-02, 0.0000, 1.0000, 1.4822e-01, 0.0000, 1.0000, 3.2822e-03, 1.2622e+01, 0.00941, collision
3.77, 0.00, 0.0000, 1.0000, -2.1765e-02, 0.0000, 1.0000, -1.7917e-02, 0.0000, 1.0000, -5.6992e-03, 0.0000, 1.0000, -8.3070e-02, 0.0000, 1.0000, 3.1495e-01, 1.6179e+01, 0.01056, collision
3.50, 0.00, 0.0000, 1.0000, -1.4778e-03, 0.0000, 1.0000, -7.3426e-03, 0.0000, 1.0000, -3.4933e-02, 0.0000, 1.0000, 8.7857e-02, 0.0000, 1.0000, 2.1401e-03, 2.0268e+01, 0.01450, collision
3.51, 0.00, 0.0000, 1.0000, -8.2125e-04, 0.0000, 1.0000, -5.9236e-03, 0.0000, 1.0000, -5.8827e-02, 0.0000, 1.0000, 1.3486e-01, 0.0000, 1.0000, 1.6799e-03, 2.0237e+01, 0.01480, collision
3.54, 0.00, 0.0000, 1.0000, -4.4572e-02, 0.0000, 1.0000, 6.2325e-02, 0.0000, 1.0000, 1.7298e-02, 0.0000, 1.0000, 1.1426e-02, 0.0000, 1.0000, 4.3036e-03, 2.1232e+01, 0.01520, collision
3.64, 0.00, 0.0000, 1.0000, 1.6255e-03, 0.0000, 1.0000, -1.3400e-02, 0.0000, 1.0000, 6.7790e-02, 0.0000, 1.0000, -3.3103e-02, 0.0000, 1.0000, 6.1377e-03, 2.0979e+01, 0.01399, collision
3.53, 0.00, 0.0000, 1.0000, 4.1190e-01, 0.0000, 1.0000, -2.4586e-01, 0.0000, 1.0000, 1.4832e-02, 0.0000, 1.0000, 1.8253e-02, 0.0000, 1.0000, 4.4850e-03, 2.1410e+01, 0.01534, collision
3.76, 0.00, 0.0000, 1.0000, -2.0827e-02, 0.0000, 1.0000, 5.2057e-02, 0.0000, 1.0000, 2.5440e-01, 0.0000, 1.0000, -1.9605e-01, 0.0000, 1.0000, 4.5549e-03, 2.0120e+01, 0.01261, collision
3.75, 0.00, 0.0000, 1.0000, -1.7458e-02, 0.0000, 1.0000, -6.7964e-03, 0.0000, 1.0000, -6.2190e-02, 0.0000, 1.0000, 2.0712e-01, 0.0000, 1.0000, 4.6928e-03, 2.1502e+01, 0.01328, collision
3.72, 0.00, 0.0000, 1.0000, 4.9603e-02, 0.0000, 1.0000, -4.7125e-02, 0.0000, 1.0000, 3.9032e-02, 0.0000, 1.0000, -1.9910e-02, 0.0000, 1.0000, 4.6858e-03, 2.2308e+01, 0.01396, collision
3.70, 0.00, 0.0000, 1.0000, -1.6921e-02, 0.0000, 1.0000, 3.7729e-02, 0.0000, 1.0000, 2.2089e-02, 0.0000, 1.0000, -1.3990e-02, 0.0000, 1.0000, 9.5432e-03, 2.9595e+01, 0.01766, collision
3.81, 0.00, 0.0000, 1.0000, -1.5746e-02, 0.0000, 1.0000, 4.6330e-03, 0.0000, 1.0000, -4.7127e-02, 0.0000, 1.0000, 1.1714e-01, 0.0000, 1.0000, 3.0703e-03, 1.2574e+01, 0.00847, collision
3.55, 0.00, 0.0000, 1.0000, -4.1245e-03, 0.0000, 1.0000, 4.7315e-02, 0.0000, 1.0000, -2.1351e-02, 0.0000, 1.0000, 3.9991e-03, 0.0000, 1.0000, 3.0675e-03, 3.2671e+01, 0.02107, collision
3.83, 0.00, 0.0000, 1.0000, -1.8034e-02, 0.0000, 1.0000, -3.2319e-03, 0.0000, 1.0000, -3.2281e-02, 0.0000, 1.0000, 5.3570e-01, 0.0000, 1.0000, -2.2478e-01, 4.4436e+01, 0.02477, collision
3.66, 0.00, 0.0000, 1.0000, -2.1423e-02, 0.0000, 1.0000, -1.0053e-01, 0.0000, 1.0000, 2.0510e-01, 0.0000, 1.0000, 1.4798e-02, 0.0000, 1.0000, 1.3213e-02, 3.5439e+01, 0.02098, collision
3.89, 0.00, 0.0000, 1.0000, -1.7006e-02, 0.0000, 1.0000, -5.8924e-04, 0.0000, 1.0000, 2.0208e-01, 0.0000, 1.0000, -1.3170e-01, 0.0000, 1.0000, 2.4053e-02, 1.9021e+01, 0.01170, collision
4.01, 0.00, 0.0000, 1.0000, -9.1255e-03, 0.0000, 1.0000, -7.7008e-03, 0.0000, 1.0000, 2.3452e-03, 0.0000, 1.0000, 2.4235e-01, 0.0000, 1.0000, -1.2330e-01, 2.5697e+01, 0.01502, collision
3.94, 0.00, 0.0000, 1.0000, -1.4065e-02, 0.0000, 1.0000, 3.9172e-04, 0.0000, 1.0000, 9.6287e-02, 0.0000, 1.0000, -5.6948e-02, 0.0000, 1.0000, 1.2408e-02, 1.9062e+01, 0.01174, collision
3.95, 0.00, 0.0000, 1.0000, -1.3269e-02, 0.0000, 1.0000, 6.9245e-04, 0.0000, 1.0000, 2.3524e-02, 0.0000, 1.0000, 3.6661e-02, 0.0000, 1.0000, 1.0988e-02, 1.9088e+01, 0.01171, collision
3.96, 0.00, 0.0000, 1.0000, -1.2502e-02, 0.0000, 1.0000, 2.8384e-04, 0.0000, 1.0000, -2.4510e-02, 0.0000, 1.0000, 9.3412e-02, 0.0000, 1.0000, 9.7743e-03, 1.9169e+01, 0.01178, collision
3.57, 0.00, 0.0000, 1.0000, -2.7240e-03, 0.0000, 1.0000, 3.8836e-02, 0.0000, 1.0000, -4.9931e-02, 0.0000, 1.0000, 2.6603e-02, 0.0000, 1.0000, 1.8486e-02, 4.5251e+01, 0.02695, collision
3.59, 0.00, 0.0000, 1.0000, -3.7323e-04, 0.0000, 1.0000, 1.5199e-03, 0.0000, 1.0000, -4.1602e-02, 0.0000, 1.0000, -9.7678e-02, 0.0000, 1.0000, 2.9397e-01, 5.1681e+01, 0.02908, collision
3.93, 0.00, 0.0000, 1.0000, -9.9536e-03, 0.0000, 1.0000, -1.5639e-01, 0.0000, 1.0000, 2.3880e-01, 0.0000, 1.0000, 1.9941e-01, 0.0000, 1.0000, 1.3799e-02, 3.1501e+01, 0.01814, collision
3.52, 0.00, 0.0000, 1.0000, -4.4301e-02, 0.0000, 1.0000, 6.6037e-02, 0.0000, 1.0000, -9.9315e-03, 0.0000, 1.0000, 2.8445e-01, 0.0000, 1.0000, -1.8480e-01, 5.6766e+01, 0.03248, collision
3.68, 0.00, 0.0000, 1.0000, 6.8889e-02, 0.0000, 1.0000, -5.9779e-02, 0.0000, 1.0000, 2.1991e-02, 0.0000, 1.0000, -2.3502e-02, 0.0000, 1.0000, 2.0419e-02, 5.5033e+01, 0.03069, collision
