#delta_H, max e_m1, max e_m2, max e_m3, max e_m4, max e_m5, sim finish time (n Pmoon), wall_time
7.10, 0.2766, 0.2206, 0.2680, 0.4060, 0.3253, 2.2198e+05, 797.83982
7.20, 0.3545, 0.2640, 0.2458, 0.3339, 0.1012, 1.0014e+05, 359.41633
6.10, 0.0971, 0.1052, 0.1903, 0.2474, 0.1359, 1.3526e+06, 4767.31057
7.40, 0.2300, 0.2245, 0.1930, 0.2276, 0.2150, 4.8649e+06, 16895.11055
7.50, 0.2932, 0.2458, 0.1816, 0.1585, 0.1224, 7.8100e+06, 27090.40603
9.50, 0.3998, 0.3561, 0.5239, 0.5222, 0.3756, 2.9058e+05, 1142.45366
6.40, 0.1827, 0.3038, 0.3861, 0.3389, 0.2856, 1.7749e+06, 6270.50860
6.70, 0.1467, 0.0932, 0.1674, 0.0630, 0.0382, 8.2996e+06, 28832.41260
9.60, 0.4792, 0.4350, 0.3295, 0.3022, 0.2217, 5.8091e+05, 2314.24638
9.70, 0.3143, 0.2862, 0.3108, 0.3114, 0.1795, 3.9296e+05, 1456.63448
8.30, 0.0383, 0.0393, 0.0291, 0.0296, 0.0310, 1.0001e+07, 34202.38778
8.70, 0.0155, 0.0149, 0.0153, 0.0140, 0.0122, 1.0001e+07, 34167.46637
9.80, 0.3469, 0.5385, 0.6130, 0.4023, 0.4004, 1.7199e+06, 6169.73122
6.50, 0.1718, 0.1226, 0.1844, 0.1450, 0.1003, 4.6242e+06, 16181.86784
6.60, 0.1197, 0.1645, 0.1761, 0.1109, 0.0888, 7.6996e+05, 2708.44737
8.00, 0.0346, 0.0329, 0.0320, 0.0249, 0.0234, 1.0001e+07, 34196.76073
9.90, 0.3739, 0.4130, 0.3547, 0.4534, 0.1733, 4.0461e+06, 13991.69684
6.80, 0.1478, 0.1585, 0.2835, 0.2441, 0.2312, 7.5452e+06, 26148.58050
9.10, 0.0246, 0.0235, 0.0230, 0.0211, 0.0174, 1.0001e+07, 34072.19943
7.60, 0.3920, 0.2549, 0.2135, 0.3058, 0.3516, 9.0709e+06, 31209.20404
7.70, 0.2977, 0.2230, 0.2426, 0.1891, 0.1301, 1.9933e+05, 706.66655
8.40, 0.0132, 0.0129, 0.0114, 0.0112, 0.0121, 1.0001e+07, 33990.70667
8.80, 0.0112, 0.0111, 0.0101, 0.0097, 0.0095, 1.0001e+07, 33924.88212
7.80, 0.2066, 0.1758, 0.1516, 0.1208, 0.1001, 2.9013e+06, 10027.55763
8.10, 0.2378, 0.1736, 0.1997, 0.2887, 0.3009, 7.2997e+06, 25133.76863
10.30, 0.0169, 0.0144, 0.0097, 0.0107, 0.0169, 1.0001e+07, 33856.30708
12.60, 0.4265, 0.4365, 0.3741, 0.1115, 0.0655, 2.2245e+06, 4766.76444
12.20, 0.0015, 0.0022, 0.0030, 0.0108, 0.0499, 1.0001e+07, 19992.05668
12.10, 0.0019, 0.0021, 0.0032, 0.0100, 0.0464, 1.0001e+07, 19999.48221
12.00, 0.0027, 0.0035, 0.0040, 0.0099, 0.0441, 1.0001e+07, 20002.02800
11.80, 0.0022, 0.0025, 0.0032, 0.0094, 0.0383, 1.0001e+07, 20027.12042
12.50, 0.0021, 0.0025, 0.0035, 0.0115, 0.0604, 1.0001e+07, 20037.48038
12.40, 0.0023, 0.0029, 0.0037, 0.0113, 0.0564, 1.0001e+07, 20041.30444
12.30, 0.0021, 0.0034, 0.0044, 0.0135, 0.0529, 1.0001e+07, 20049.31629
12.70, 0.1606, 0.1653, 0.1399, 0.0213, 0.0693, 1.0001e+07, 20503.78714
12.80, 0.4749, 0.4217, 0.3626, 0.1362, 0.0803, 6.8574e+06, 14606.64829
13.60, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000e+00, 0.00137
12.90, 0.3686, 0.4406, 0.3633, 0.0233, 0.0799, 9.7010e+06, 19811.54067
13.20, 0.0030, 0.0026, 0.0033, 0.0158, 0.0970, 1.0001e+07, 19957.99270
13.10, 0.0016, 0.0023, 0.0033, 0.0152, 0.0909, 1.0001e+07, 19971.96722
13.30, 0.0019, 0.0021, 0.0033, 0.0168, 0.1054, 1.0001e+07, 19981.05294
