# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, t_end(PM), wall_time, fate
8.61, 0.00, 0.0002, 0.0002, 2.2421e-03, 0.0136, 0.0136, 1.7288e-01, 8.5381e+02, 0.50448, a>0.4R_H
8.78, 0.00, 0.0002, 0.0002, 2.2357e-03, 0.2688, 0.2688, 7.1672e-02, 8.5381e+02, 0.50429, a>0.4R_H
8.71, 0.00, 0.0002, 0.0002, 2.2381e-03, 0.1364, 0.1364, 2.2339e-01, 8.5381e+02, 0.50499, a>0.4R_H
8.63, 0.00, 0.0002, 0.0001, 2.3123e-03, 0.1098, 0.0542, 2.1458e-01, 8.8797e+02, 0.52602, a>0.4R_H
8.79, 0.00, 0.0002, 0.0002, 2.2379e-03, 0.2332, 0.2332, 9.5576e-02, 8.5381e+02, 0.52536, a>0.4R_H
8.81, 0.00, 0.0002, 0.0002, 2.2330e-03, 0.2736, 0.2736, 4.1559e-02, 8.5381e+02, 0.50806, a>0.4R_H
4.27, 0.00, 0.5372, 0.0006, -1.5775e-01, 9.7952, 0.0017, -4.2070e+00, 1.0539e+05, 60.88050, a<0
4.26, 0.00, 0.3349, 0.0007, 2.3062e+00, 0.3519, 0.0020, -2.7079e-01, 1.0647e+05, 62.72431, collision
3.63, 0.00, 0.2885, 0.0000, 2.0607e+00, 0.2667, 0.0027, 7.0948e-01, 1.1638e+05, 66.10600, collision
4.34, 0.00, 0.5973, 0.0005, -3.2552e-01, 0.5206, 0.0006, 2.2401e+00, 1.3938e+05, 77.97941, d<R_roche
8.95, 0.00, 0.0251, 0.0251, -2.5520e-02, 13687.5150, 1.0000, -1.0054e+00, 8.5381e+02, 0.52186, a<0
3.67, 0.00, 0.3764, 0.0013, 1.6279e+02, 0.3118, 0.0010, -4.6404e-01, 1.6097e+05, 89.57111, collision
3.78, 0.00, 0.3089, 0.0003, 6.3707e-01, 0.3413, 0.0010, 2.5686e+00, 1.9149e+05, 102.78563, collision
3.93, 0.00, 0.3723, 0.0003, 2.3854e+00, 0.2704, 0.0004, -1.6116e-01, 2.0308e+05, 104.64252, collision
8.75, 0.00, 0.0002, 0.0001, 2.4109e-03, 0.2586, 0.1258, 1.5264e-01, 9.2212e+02, 0.54454, a>0.4R_H
3.88, 0.00, 0.5115, 0.0004, -2.8008e-01, 0.3149, 0.0004, 4.5671e+00, 2.3869e+05, 124.01536, d<R_roche
4.67, 0.00, 0.5270, 0.0005, -2.9192e-02, 0.7850, 0.0004, 4.5577e+00, 2.5416e+05, 126.54161, d<R_roche
4.65, 0.00, 0.4904, 0.0002, -5.1932e-04, 2388.8259, 0.0012, -1.1222e+00, 2.6653e+05, 135.43176, a<0
4.30, 0.00, 0.3640, 0.0011, 1.3246e+01, 0.3769, 0.0010, -3.2397e-01, 1.3512e+05, 77.08533, collision
8.82, 0.00, 0.0002, 0.0002, 2.2401e-03, 0.2567, 0.2567, 1.5284e-01, 8.5381e+02, 0.50254, a>0.4R_H
4.88, 0.00, 0.6115, 0.0002, -2.6324e-02, 0.3311, 0.0011, -1.4893e+00, 3.4050e+05, 159.48272, d<R_roche
