# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, t_end(PM), wall_time, fate
8.70, 0.00, 0.0000, 0.0000, -7.9489e-06, 0.0352, 0.0352, 1.5393e-01, 8.5381e+02, 0.23663, a>0.4R_H
8.66, 0.00, 0.0001, 0.0001, -1.5063e-05, 0.0537, 0.0537, 1.2178e-01, 8.5381e+02, 0.35507, a>0.4R_H
8.69, 0.00, 0.0001, 0.0000, -1.5152e-05, 0.2570, 0.1266, 1.3121e-01, 9.9043e+02, 0.25920, a>0.4R_H
8.73, 0.00, 0.0000, 0.0000, -2.2072e-05, 0.2059, 0.0509, 1.2744e-01, 9.2212e+02, 0.30656, a>0.4R_H
8.72, 0.00, 0.0000, 0.0000, -1.0656e-05, 0.1736, 0.0541, 1.5393e-01, 9.2212e+02, 0.40388, a>0.4R_H
8.22, 0.00, 0.0004, 0.0000, -3.5724e-06, 0.1711, 0.0001, -1.7495e-02, 1.0000e+07, 2673.44283, tmax
7.53, 0.00, 0.0031, 0.0000, -3.8736e-05, 0.1302, 0.0001, 2.1024e-02, 1.0000e+07, 2673.42387, tmax
6.93, 0.00, 0.0199, 0.0000, 1.9335e-05, 0.1130, 0.0001, -4.8279e-03, 1.0000e+07, 2673.58098, tmax
8.30, 0.00, 0.0003, 0.0000, -2.1934e-05, 0.1805, 0.0002, 6.2315e-02, 1.0000e+07, 2674.30953, tmax
8.19, 0.00, 0.0004, 0.0000, -1.7199e-05, 0.1680, 0.0002, 2.6550e-02, 1.0000e+07, 2674.28883, tmax
7.58, 0.00, 0.0027, 0.0000, 1.0823e-05, 0.1322, 0.0002, -1.0119e-02, 1.0000e+07, 2675.14474, tmax
8.33, 0.00, 0.0003, 0.0000, 7.4003e-06, 0.1852, 0.0002, 1.8279e-01, 1.0000e+07, 2675.85322, tmax
6.79, 0.00, 0.0312, 0.0000, -1.2100e-04, 0.1103, 0.0001, 3.7619e-02, 1.0000e+07, 2676.94487, tmax
6.83, 0.00, 0.0275, 0.0000, -1.2417e-04, 0.1110, 0.0000, 3.9525e-02, 1.0000e+07, 2682.16421, tmax
5.79, 0.00, 0.0307, 0.0000, 1.8313e-04, 0.0940, 0.0001, -1.2439e-02, 1.0000e+07, 2684.26034, tmax
5.64, 0.00, 0.0293, 0.0000, -3.8674e-04, 0.0923, 0.0000, 6.4167e-02, 1.0000e+07, 2685.16101, tmax
8.71, 0.00, 0.0000, 0.0000, -1.2756e-05, 0.0789, 0.0789, 1.9070e-01, 8.5381e+02, 0.25624, a>0.4R_H
7.79, 0.00, 0.0014, 0.0000, -4.2725e-05, 0.1406, 0.0000, 9.0186e-02, 1.0000e+07, 2687.76430, tmax
6.41, 0.00, 0.0450, 0.0000, -8.5517e-05, 0.1033, 0.0001, 8.2918e-02, 1.0000e+07, 2688.07900, tmax
5.10, 0.00, 0.0266, 0.0000, -8.0280e-04, 0.0860, 0.0001, 4.4463e-02, 1.0000e+07, 2688.82473, tmax
7.87, 0.00, 0.0011, 0.0000, 1.5611e-05, 0.1452, 0.0000, -1.8753e-02, 1.0000e+07, 2691.55353, tmax
6.06, 0.00, 0.0345, 0.0000, 2.4487e-05, 0.0978, 0.0000, 9.0397e-02, 1.0000e+07, 2692.92357, tmax
7.47, 0.00, 0.0037, 0.0000, 1.4419e-05, 0.1284, 0.0002, -1.4038e-02, 1.0000e+07, 2693.02481, tmax
5.63, 0.00, 0.0293, 0.0000, -4.5162e-04, 0.0920, 0.0001, 4.5582e-02, 1.0000e+07, 2693.71813, tmax
5.19, 0.00, 0.0270, 0.0000, -5.6370e-04, 0.0870, 0.0000, 6.6817e-02, 1.0000e+07, 2693.80852, tmax
5.82, 0.00, 0.0310, 0.0000, -3.4950e-04, 0.0945, 0.0001, 4.4829e-02, 1.0000e+07, 2694.69419, tmax
5.68, 0.00, 0.0296, 0.0000, -2.5412e-04, 0.0927, 0.0002, 1.8716e-02, 1.0000e+07, 2698.10132, tmax
4.62, 0.00, 0.0252, 0.0000, -4.5310e-04, 0.0811, 0.0001, 1.0965e-02, 1.0000e+07, 2699.87435, tmax
4.82, 0.00, 0.0257, 0.0000, 1.3509e-04, 0.0832, 0.0001, -1.9246e-03, 1.0000e+07, 2699.97309, tmax
5.21, 0.00, 0.0270, 0.0000, -6.4341e-04, 0.0872, 0.0001, 5.6665e-02, 1.0000e+07, 2701.36978, tmax
4.42, 0.00, 0.0247, 0.0000, 3.8646e-04, 0.0792, 0.0001, 8.3737e-02, 1.0000e+07, 2701.96531, tmax
4.63, 0.00, 0.0252, 0.0000, -1.0384e-03, 0.0812, 0.0000, 3.7227e-02, 1.0000e+07, 2706.52974, tmax
