#delta_H, max e_m1, max e_m2, sim finish time (n Pmoon), wall_time
3.50, 0.3173, 0.2529, 5.4289e+05, 718.11521
3.60, 0.3226, 0.2526, 7.2525e+05, 928.54324
3.70, 0.3005, 0.2603, 8.9666e+05, 1112.31688
3.80, 0.3259, 0.2558, 1.1038e+06, 1327.18590
3.51, 0.3148, 0.2524, 5.3914e+05, 708.21539
3.90, 0.2860, 0.2718, 1.3082e+06, 1524.62691
4.00, 0.3147, 0.2386, 1.4169e+06, 1605.07686
3.61, 0.2817, 0.2287, 6.2460e+05, 799.59237
3.52, 0.2983, 0.2319, 4.8138e+05, 633.99143
4.10, 0.3014, 0.2948, 2.0541e+06, 2235.35648
3.71, 0.3049, 0.2674, 9.5622e+05, 1178.33136
3.81, 0.5906, 0.6852, 1.0927e+06, 1308.50559
3.62, 0.3779, 0.3158, 9.7909e+05, 1226.80084
3.53, 0.5481, 0.7058, 6.9885e+05, 910.42887
3.91, 0.3317, 0.2618, 1.2742e+06, 1477.93892
4.20, 0.5717, 0.6447, 2.9038e+06, 3026.28320
3.72, 0.3199, 0.2601, 8.9209e+05, 1098.10704
4.01, 0.5686, 0.5226, 1.6669e+06, 1872.28423
3.54, 0.2856, 0.4204, 6.4648e+05, 839.80908
3.63, 0.6243, 0.7491, 7.5300e+05, 958.11561
3.82, 0.2791, 0.2664, 1.1716e+06, 1397.37023
4.11, 117592.0610, 2134166.7491, 1.9680e+06, 2145.05913
3.73, 0.3261, 0.2355, 8.4226e+05, 1043.78719
3.55, 0.3162, 0.2550, 5.8237e+05, 762.81717
3.92, 0.5323, 0.6525, 1.3630e+06, 1580.42242
3.64, 141416.2015, 80775.5590, 6.7700e+05, 862.97926
4.02, 0.3016, 0.2692, 1.5708e+06, 1770.66380
3.83, 0.3352, 0.2252, 1.0121e+06, 1217.28993
4.21, 0.6144, 5297.3783, 2.3570e+06, 2493.70157
3.56, 0.3165, 0.3150, 8.4543e+05, 1086.41869
3.65, 0.5634, 0.9303, 7.4500e+05, 945.05911
3.74, 0.3458, 0.3028, 1.1861e+06, 1449.40629
4.22, 0.5483, 0.8775, 4.6800e+05, 642.21211
3.84, 0.3104, 0.2590, 9.3816e+05, 1155.63654
3.57, 0.5719, 0.6207, 5.9400e+05, 816.52715
3.93, 0.2957, 0.3174, 1.8240e+06, 2119.86792
3.66, 0.3055, 0.2582, 8.1091e+05, 1055.85023
3.75, 0.3065, 0.2643, 9.5683e+05, 1193.37227
4.12, 0.2950, 0.3168, 2.4938e+06, 2703.83048
4.03, 0.6281, 0.6270, 1.6640e+06, 1888.48158
3.58, 0.2793, 0.2638, 6.8175e+05, 855.59355
4.23, 0.5532, 15602.5493, 1.4260e+06, 1502.20134
3.67, 0.2978, 0.2466, 8.1588e+05, 990.28396
3.85, 0.2899, 0.2619, 1.1958e+06, 1383.56492
3.76, 4502.1121, 0.5196, 9.4200e+05, 1119.21746
3.59, 0.7041, 0.5541, 6.9800e+05, 885.97373
4.24, 0.3646, 0.3422, 4.5690e+05, 570.67984
3.94, 0.2930, 0.2696, 1.4406e+06, 1613.63872
3.68, 0.2949, 0.4297, 7.5701e+05, 932.59871
4.25, 0.3345, 0.2942, 4.6454e+05, 596.81964
4.30, 0.5918, 0.4156, 5.9900e+05, 755.94336
4.04, 0.3014, 0.2584, 1.6918e+06, 1846.94203
4.13, 0.3350, 0.2640, 2.0040e+06, 2126.94215
3.77, 0.2973, 0.2682, 1.0250e+06, 1222.43062
3.86, 0.3001, 0.2959, 1.4925e+06, 1717.11106
4.31, 0.6403, 0.7651, 4.5200e+05, 565.33632
4.26, 0.5029, 87769.0899, 5.7700e+05, 724.25094
3.69, 0.6209, 0.6766, 9.0500e+05, 1111.10933
3.95, 0.3562, 0.2600, 1.4183e+06, 1600.13321
4.32, 0.6677, 0.5182, 6.5000e+05, 806.84908
4.40, 0.5287, 0.4334, 4.5700e+05, 557.88294
4.27, 0.6488, 0.5840, 8.6500e+05, 1075.46449
3.78, 0.3049, 0.2676, 1.0330e+06, 1232.21006
3.87, 0.6445, 0.4118, 1.1000e+06, 1279.60530
4.05, 0.3220, 0.3076, 1.6531e+06, 1806.44872
4.33, 0.5939, 0.8108, 7.9700e+05, 978.87692
4.14, 0.2837, 0.2577, 2.0600e+06, 2185.75211
3.96, 0.5967, 0.8065, 1.3550e+06, 1531.88600
4.28, 0.6083, 1915.4542, 8.9500e+05, 1098.48257
3.79, 0.5872, 0.4842, 1.0570e+06, 1255.38541
3.88, 0.5720, 0.7090, 9.9900e+05, 1158.87419
4.06, 0.6137, 0.5219, 1.1030e+06, 1212.10277
4.41, 0.3002, 0.2470, 1.9776e+06, 1967.24511
4.34, 0.6495, 0.5512, 1.3540e+06, 1423.34478
4.50, 0.4586, 28981.0521, 7.2600e+05, 865.75578
4.29, 0.5634, 0.6829, 8.4400e+05, 1058.87468
3.97, 0.2922, 0.2453, 1.3890e+06, 1575.39503
4.35, 0.4479, 0.7288, 4.6823e+05, 568.19708
3.89, 0.2951, 0.2662, 1.3070e+06, 1507.38936
4.15, 0.5977, 0.8537, 1.9870e+06, 2119.51311
4.07, 0.4284, 188634.9370, 1.7770e+06, 1934.19897
4.60, 0.4474, 0.8362, 1.0940e+06, 1221.62854
4.42, 0.6921, 0.4613, 2.0090e+06, 1997.96365
4.70, 0.5957, 0.6688, 1.0288e+06, 1141.93326
4.36, 0.4678, 0.2314, 1.3165e+06, 1422.18715
4.51, 0.6609, 0.7642, 2.0390e+06, 2019.51089
3.98, 0.5375, 1880.0534, 1.5750e+06, 1769.12843
4.16, 0.3113, 0.2995, 1.5799e+06, 1697.75496
4.37, 0.5910, 0.7500, 7.2000e+05, 904.05586
4.52, 0.6502, 0.5574, 7.1600e+05, 869.61096
4.09, 0.6085, 0.7599, 1.6380e+06, 1796.43446
4.45, 0.5358, 96.0021, 9.8300e+05, 1204.96606
4.39, 0.5162, 239.7206, 1.0010e+06, 1228.30571
4.72, 44921.7259, 0.4200, 2.1350e+06, 2304.36635
4.62, 0.6080, 46461.3325, 2.6450e+06, 2523.22501
4.53, 0.3666, 0.2228, 3.6322e+06, 3462.14230
4.80, 0.5793, 2369.0143, 2.9290e+06, 2819.30155
4.46, 0.4965, 0.9138, 1.6230e+06, 1685.95969
4.18, 0.2983, 0.2593, 2.2049e+06, 2347.77628
4.90, 0.4111, 0.2364, 2.2534e+06, 2191.59890
4.73, 0.6623, 0.6941, 2.1170e+06, 2311.23286
4.47, 0.6836, 0.5859, 8.2800e+05, 971.44446
5.00, 151.9232, 140.2650, 3.4240e+06, 3124.57859
4.63, 0.7052, 0.5409, 2.6540e+06, 2530.64454
4.91, 0.6383, 0.7618, 1.5050e+06, 1594.36300
4.74, 0.6318, 0.7836, 1.3539e+06, 1486.45832
4.81, 0.5861, 54836.3962, 2.8700e+06, 2661.33841
4.19, 0.3147, 0.2719, 2.2143e+06, 2337.14612
4.48, 0.4963, 0.6497, 1.6628e+06, 1768.15059
4.54, 0.2953, 0.2778, 4.1528e+06, 3917.49527
4.49, 0.6726, 0.6212, 9.5800e+05, 1154.03179
4.64, 0.4570, 22180.0923, 2.7450e+06, 2585.56055
4.75, 0.3344, 0.3130, 2.0069e+06, 2182.04546
4.55, 0.3586, 33432.2024, 9.6900e+05, 1129.22902
4.82, 0.2175, 0.4331, 3.1621e+06, 2955.95109
