# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, eM3_max, eM3_min, dA3_over_A0, t_end(PM), wall_time, fate
3.93, 0.30, 0.0000, 1.0000, -2.0541e-01, 0.0000, 1.0000, 1.2641e+00, 0.0000, 1.0000, 6.0982e-02, 8.9811e+01, 0.08584, collision
3.62, 0.16, 0.0000, 1.0000, -2.5207e-02, 0.0000, 1.0000, 1.0141e-01, 0.0000, 1.0000, 2.1046e-01, 4.7813e+01, 0.13389, collision
3.78, 0.26, 0.0000, 1.0000, 4.4178e-01, 0.0000, 1.0000, -1.7313e-01, 0.0000, 1.0000, 2.5701e-01, 7.2207e+01, 0.15007, collision
3.65, 0.27, 0.0000, 1.0000, -8.8112e-02, 0.0000, 1.0000, 1.6103e+00, 0.0000, 1.0000, -3.4256e-01, 2.3282e+02, 0.24043, collision
4.52, 0.26, 0.0000, 1.0000, -3.0494e-02, 0.0000, 1.0000, -1.3285e-01, 0.0000, 1.0000, 1.6917e+00, 5.3788e+02, 0.48471, collision
4.53, 0.25, 0.0000, 1.0000, -1.0565e-01, 0.0000, 1.0000, 1.8129e+00, 0.0000, 1.0000, 1.4743e-01, 4.8969e+02, 0.46578, collision
10.13, 0.01, 0.0095, 0.0095, -1.5058e-05, 0.0147, 0.0147, 3.5828e-04, 0.0640, 0.0640, 1.6870e-02, 8.5381e+02, 0.66833, a>0.4R_H
10.40, 0.05, 0.0507, 0.0507, -6.4149e-04, 0.0605, 0.0605, -3.2353e-02, 25384.9199, 1.0000, -1.0039e+00, 8.5381e+02, 0.61148, a<0
10.11, 0.09, 0.0888, 0.0888, -1.2485e-04, 0.0889, 0.0889, 8.4396e-03, 0.1214, 0.1214, 1.1745e-01, 8.5381e+02, 0.70395, a>0.4R_H
10.91, 0.02, 0.0173, 0.0173, -6.2873e-02, 0.5661, 0.5661, -1.9607e-01, 228577621.7755, 1.0000, -1.0000e+00, 8.5381e+02, 0.67164, a<0
10.33, 0.25, 0.2407, 0.2407, -2.2520e-04, 0.2523, 0.2523, -2.1816e-01, 102.0954, 1.0000, -1.1608e+00, 8.5381e+02, 0.74426, a<0
