# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, eM3_max, eM3_min, dA3_over_A0, eM4_max, eM4_min, dA4_over_A0, t_end(PM), wall_time, fate
3.63, 0.00, 0.0000, 1.0000, -3.5747e-02, 0.0000, 1.0000, 1.3021e+00, 0.0000, 1.0000, -3.1729e-01, 0.0000, 1.0000, 1.5025e-02, 2.1639e+01, 0.03083, collision
3.64, 0.00, 0.0000, 1.0000, -2.9245e-02, 0.0000, 1.0000, 1.5121e-01, 0.0000, 1.0000, 1.5804e-01, 0.0000, 1.0000, 1.4405e-02, 2.1655e+01, 0.03099, collision
3.62, 0.00, 0.0000, 1.0000, -4.5662e-02, 0.0000, 1.0000, 4.4780e+00, 0.0000, 1.0000, -4.2304e-01, 0.0000, 1.0000, -2.9664e-03, 2.1883e+01, 0.03213, collision
3.71, 0.00, 0.0000, 1.0000, -2.5104e-02, 0.0000, 1.0000, 3.6406e-01, 0.0000, 1.0000, -6.4470e-02, 0.0000, 1.0000, 2.2214e-02, 2.5565e+01, 0.03489, collision
3.81, 0.00, 0.0000, 1.0000, -3.4640e-02, 0.0000, 1.0000, 1.7363e-02, 0.0000, 1.0000, 1.0159e+00, 0.0000, 1.0000, -1.6717e-01, 2.2436e+01, 0.03203, collision
3.58, 0.00, 0.0000, 1.0000, -6.4548e-02, 0.0000, 1.0000, 1.5827e+00, 0.0000, 1.0000, -3.5307e-01, 0.0000, 1.0000, 1.6384e-02, 2.8824e+01, 0.04001, collision
3.56, 0.00, 0.0000, 1.0000, -5.6561e-02, 0.0000, 1.0000, 7.4990e-01, 0.0000, 1.0000, -1.7335e-01, 0.0000, 1.0000, -1.9699e-02, 3.2486e+01, 0.04286, collision
3.70, 0.00, 0.0000, 1.0000, -4.1918e-02, 0.0000, 1.0000, -2.1981e-01, 0.0000, 1.0000, -2.4275e+00, 0.0000, 1.0000, 3.9549e-02, 5.3795e+01, 0.06848, collision
3.59, 0.00, 0.0000, 1.0000, -6.8937e-02, 0.0000, 1.0000, 5.5028e+00, 0.0000, 1.0000, -4.1761e-01, 0.0000, 1.0000, -4.9505e-03, 3.7484e+01, 0.04792, collision
3.53, 0.00, 0.0000, 1.0000, -9.5390e-02, 0.0000, 1.0000, -1.7724e-02, 0.0000, 1.0000, 9.9318e-01, 0.0000, 1.0000, 1.4731e-01, 2.9647e+01, 0.05132, collision
3.60, 0.00, 0.0000, 1.0000, -3.8354e-02, 0.0000, 1.0000, 5.4290e-02, 0.0000, 1.0000, 2.9214e-01, 0.0000, 1.0000, 3.4222e-02, 6.2301e+01, 0.07241, collision
3.69, 0.00, 0.0000, 1.0000, -5.0725e-02, 0.0000, 1.0000, 1.1481e-01, 0.0000, 1.0000, 4.7499e-01, 0.0000, 1.0000, 9.3285e-02, 4.2106e+01, 0.05261, collision
3.74, 0.00, 0.0000, 1.0000, -3.3898e-02, 0.0000, 1.0000, 7.2717e-01, 0.0000, 1.0000, -2.4253e-01, 0.0000, 1.0000, 5.2764e-02, 4.1559e+01, 0.05174, collision
3.78, 0.00, 0.0000, 1.0000, -1.3775e-02, 0.0000, 1.0000, 5.2530e-01, 0.0000, 1.0000, -1.5470e-01, 0.0000, 1.0000, 5.2767e-02, 3.3632e+01, 0.06248, collision
