# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, eM3_max, eM3_min, dA3_over_A0, t_end(PM), wall_time, fate
3.60, 0.23, 0.0000, 1.0000, -2.4634e-01, 0.0000, 1.0000, 5.8205e-01, 0.0000, 1.0000, 9.0469e-01, 5.9531e+01, 0.02768, collision
3.63, 0.21, 0.0000, 1.0000, -6.2268e-02, 0.0000, 1.0000, 4.3968e+00, 0.0000, 1.0000, 9.8753e-02, 1.0702e+01, 0.00599, collision
10.89, 0.03, 0.0000, 1.0000, 7.2021e-03, 0.0000, 1.0000, 1.0521e-01, 0.0000, 1.0000, -3.9355e-01, 1.0721e+02, 0.05030, collision
4.23, 0.24, 0.0000, 1.0000, 2.0336e-01, 0.0000, 1.0000, -1.4479e-01, 0.0000, 1.0000, 8.7582e-02, 1.4423e+02, 0.05867, collision
3.88, 0.05, 0.0000, 1.0000, -1.7359e-01, 0.0000, 1.0000, 1.1666e-01, 0.0000, 1.0000, 2.9669e+00, 3.5054e+02, 0.14320, collision
10.63, 0.25, 0.0000, 1.0000, 2.4397e-01, 0.0000, 1.0000, 2.2657e-01, 0.0000, 1.0000, -7.0566e-01, 3.5738e+02, 0.18396, collision
10.80, 0.01, 0.0082, 0.0082, -2.4809e-05, 0.0075, 0.0075, 7.6482e-03, 172933.4603, 1.0000, -1.0009e+00, 8.5381e+02, 0.26945, a<0
10.72, 0.05, 0.0509, 0.0509, -1.4450e-04, 0.0487, 0.0487, 1.6377e-02, 186025.5076, 1.0000, -1.0009e+00, 8.5381e+02, 0.27227, a<0
4.28, 0.21, 0.0000, 1.0000, 3.6175e-01, 0.0000, 1.0000, 1.1288e+00, 0.0000, 1.0000, -5.7475e-01, 3.2850e+02, 0.26083, collision
10.10, 0.18, 0.1812, 0.1812, 7.1447e-05, 0.1714, 0.1714, 1.1780e-02, 0.1289, 0.1289, 5.9730e-02, 8.5381e+02, 0.33278, a>0.4R_H
10.56, 0.13, 0.1300, 0.1300, -1.0324e-04, 0.1514, 0.1514, -2.3612e-02, 211493.0382, 1.0000, -1.0008e+00, 8.5381e+02, 0.30536, a<0
10.24, 0.21, 0.2108, 0.2108, -1.2221e-04, 0.2023, 0.2023, 9.6972e-03, 0.4964, 0.4964, -3.7658e-02, 8.5381e+02, 0.34082, a>0.4R_H
10.49, 0.30, 0.3000, 0.3000, 1.1399e-03, 0.2930, 0.2930, -2.4008e-03, 215001.0584, 1.0000, -1.0009e+00, 8.5381e+02, 0.34541, a<0
10.63, 0.30, 0.3017, 0.3017, -1.1808e-04, 0.2927, 0.2927, 9.2520e-03, 188730.7939, 1.0000, -1.0009e+00, 8.5381e+02, 0.34724, a<0
10.84, 0.29, 0.2913, 0.2913, 6.1680e-05, 0.2782, 0.2782, -3.3726e-03, 439462.6765, 1.0000, -1.0005e+00, 8.5381e+02, 0.34597, a<0
10.49, 0.21, 0.2110, 0.2110, 7.3865e-05, 0.1925, 0.1925, 1.4871e-02, 214193.2710, 1.0000, -1.0009e+00, 8.5381e+02, 0.33909, a<0
3.73, 0.08, 0.0000, 1.0000, -1.4994e-01, 0.0000, 1.0000, 4.3852e-01, 0.0000, 1.0000, 1.7103e-01, 5.9755e+01, 0.02519, collision
4.89, 0.23, 0.2914, 0.1548, 1.3213e-01, 0.1135, 0.0079, -1.6142e-01, 0.4971, 0.3345, 3.4545e-01, 9.2634e+02, 0.37563, collision
10.26, 0.12, 0.1201, 0.1201, -5.1335e-05, 0.1079, 0.1079, 2.6495e-04, 0.4955, 0.4955, 1.7456e-01, 8.5381e+02, 0.30056, a>0.4R_H
10.74, 0.12, 0.1190, 0.1190, -2.3956e-03, 0.0961, 0.0961, 2.1701e-02, 41410.3015, 1.0000, -1.0024e+00, 8.5381e+02, 0.29963, a<0
10.43, 0.02, 0.0188, 0.0188, -1.0782e-03, 0.0239, 0.0239, 6.6379e-03, 225635.3390, 1.0000, -1.0009e+00, 8.5381e+02, 0.26609, a<0
9.99, 0.27, 0.2719, 0.2697, -3.1857e-06, 0.2513, 0.2480, -1.3720e-03, 0.2058, 0.0843, 4.2961e-02, 9.2212e+02, 0.37401, a>0.4R_H
5.31, 0.30, 0.5903, 0.1019, -1.8587e-01, 0.5867, 0.0359, 5.3623e-01, 0.4738, 0.1951, 1.5746e-01, 1.5369e+03, 0.67071, d<R_roche
3.54, 0.01, 0.0000, 1.0000, 8.0386e-01, 0.0000, 1.0000, -3.8980e-01, 0.0000, 1.0000, 2.5073e-01, 8.3355e+01, 0.05865, collision
4.94, 0.22, 0.5109, 0.0531, -9.3713e-02, 0.3339, 0.0870, -1.7064e-02, 0.3375, 0.2333, 3.2545e+00, 1.9457e+03, 0.76094, collision
4.16, 0.12, 0.2424, 0.0220, 2.8498e-01, 0.2028, 0.0313, -1.8288e-01, 0.2017, 0.0177, 3.7029e-02, 2.2092e+03, 0.80008, collision
5.07, 0.26, 0.4344, 0.1388, -1.8059e-02, 0.3879, 0.0126, 1.9609e+00, 0.3416, 0.0267, -1.4231e-01, 2.7723e+03, 1.13887, collision
5.38, 0.26, 0.3580, 0.0649, -8.5138e-02, 0.3235, 0.0181, -9.2475e-02, 0.4405, 0.2790, -5.1862e+02, 2.4159e+03, 1.28486, collision
3.86, 0.02, 0.2730, 0.0199, -1.7059e-01, 0.4596, 0.0238, 1.6127e+00, 0.3791, 0.0132, -1.5324e-01, 3.6688e+03, 1.44860, collision
3.77, 0.21, 0.0000, 1.0000, -3.6967e+02, 0.0000, 1.0000, -5.3530e-01, 0.0000, 1.0000, 3.3423e-01, 8.6873e+01, 0.03919, collision
9.80, 0.02, 0.0223, 0.0195, 1.2525e-04, 0.0267, 0.0060, 1.7268e-02, 0.2268, 0.0145, 1.0613e-01, 4.7472e+03, 1.50912, a>0.4R_H
3.88, 0.13, 0.6770, 0.6770, -1.7511e-01, 1789.0660, 1.0000, -1.2230e+00, 0.0000, 1.0000, 4.4645e-01, 8.5381e+02, 0.76073, a<0
9.99, 0.00, 0.0006, 0.0002, -1.0361e-04, 0.0155, 0.0112, 1.1162e-02, 0.2723, 0.2011, 6.0321e-02, 8.8797e+02, 0.27584, a>0.4R_H
4.86, 0.13, 0.3680, 0.0515, 7.8322e-01, 0.3748, 0.0285, -4.3492e-01, 0.4474, 0.0044, 5.2728e-01, 5.3970e+03, 2.04265, collision
3.81, 0.23, 0.0000, 1.0000, -7.5690e-02, 0.0000, 1.0000, 3.1364e-01, 0.0000, 1.0000, 5.7161e-02, 6.8102e+01, 0.02907, collision
4.75, 0.26, 0.5376, 0.1010, -1.0714e-01, 0.4975, 0.0926, 2.2611e-01, 0.3983, 0.2693, 4.8105e-01, 2.6389e+03, 1.05995, collision
10.66, 0.11, 0.1119, 0.1119, -2.9011e-04, 0.1027, 0.1027, -6.8582e-03, 180951.2701, 1.0000, -1.0009e+00, 8.5381e+02, 0.29478, a<0
5.82, 0.25, 0.5622, 0.0182, -5.5039e-03, 0.3426, 0.0124, 1.0023e-02, 0.5132, 0.0606, 1.5914e-02, 7.3770e+03, 2.88090, d<R_roche
6.28, 0.29, 0.5326, 0.0931, 1.6359e+00, 0.3601, 0.0115, -5.2423e-01, 0.3306, 0.0022, -1.1823e-02, 9.5985e+03, 3.84904, collision
4.06, 0.11, 0.2330, 0.0256, 1.7557e+00, 0.2562, 0.0055, -4.8343e-01, 0.1888, 0.0079, 1.4118e-01, 4.3601e+03, 1.57937, collision
5.30, 0.22, 0.3665, 0.0402, -1.9331e-01, 0.4876, 0.0205, 4.6934e+00, 0.5914, 0.2138, 6.3687e-01, 2.5966e+03, 1.04094, collision
5.97, 0.19, 0.4728, 0.0222, -5.3276e-02, 0.3415, 0.0049, 1.8372e+01, 0.4226, 0.1707, -4.8522e-01, 1.1412e+04, 4.68274, collision
6.16, 0.23, 0.4561, 0.0181, -1.1771e-01, 0.4114, 0.0501, 4.8361e-01, 0.2831, 0.0133, -7.0059e-02, 5.8401e+03, 2.37276, d<R_roche
6.66, 0.30, 0.5361, 0.0031, -2.1776e-02, 0.4025, 0.0268, 4.7999e-02, 0.4821, 0.1776, 3.5191e-04, 1.6769e+04, 6.24348, d<R_roche
4.32, 0.12, 0.3068, 0.0035, -9.3087e-02, 0.2576, 0.0056, 4.1487e-02, 0.4727, 0.0069, 8.7493e-01, 1.3023e+04, 4.87994, collision
6.20, 0.16, 0.3802, 0.0241, -7.1023e-02, 0.4277, 0.0060, 6.2561e-01, 0.3034, 0.0309, 1.8803e+00, 1.6918e+04, 6.49574, collision
10.87, 0.11, 0.1103, 0.1103, 1.0571e-05, 0.1009, 0.1009, -2.7621e-03, 142948.5380, 1.0000, -1.0010e+00, 8.5381e+02, 0.29437, a<0
10.13, 0.06, 0.0602, 0.0602, -6.3611e-05, 0.0484, 0.0484, 3.1853e-03, 0.0575, 0.0575, 4.1962e-02, 8.5381e+02, 0.28471, a>0.4R_H
10.12, 0.02, 0.0199, 0.0199, 6.8647e-05, 0.0187, 0.0187, 1.5554e-02, 0.0764, 0.0764, 6.2855e-02, 8.5381e+02, 0.26690, a>0.4R_H
3.77, 0.13, 0.0000, 1.0000, -2.1144e-01, 0.0000, 1.0000, -5.8562e+00, 0.0000, 1.0000, 2.6175e-01, 3.7697e+02, 0.16127, collision
5.25, 0.12, 0.2509, 0.0163, -6.6585e-02, 0.3424, 0.0075, 1.1985e+00, 0.3611, 0.0068, -3.0693e-01, 1.9231e+04, 6.97406, collision
10.10, 0.14, 0.1410, 0.1410, -6.3701e-05, 0.1298, 0.1298, 2.9543e-03, 0.2801, 0.2801, 7.7085e-02, 8.5381e+02, 0.31007, a>0.4R_H
5.54, 0.21, 0.3257, 0.0112, -9.1623e-02, 0.6345, 0.0269, 1.5336e+00, 0.3319, 0.0402, -3.0471e-01, 1.8377e+04, 7.03308, collision
10.93, 0.03, 0.0282, 0.0282, -3.6164e-03, 0.0124, 0.0124, -8.5952e-03, 53418.1976, 1.0000, -1.0020e+00, 8.5381e+02, 0.26799, a<0
5.36, 0.22, 0.3898, 0.0601, -1.7638e-01, 0.5803, 0.0338, 9.1223e-01, 0.3995, 0.0551, 2.9968e-01, 5.1736e+03, 2.07281, collision
9.84, 0.28, 0.2892, 0.2795, 3.8839e-05, 0.2695, 0.2466, 1.2435e-02, 0.3144, 0.0808, 9.6313e-02, 1.7759e+03, 0.72387, a>0.4R_H
5.77, 0.20, 0.3937, 0.0027, -4.6707e-02, 0.3603, 0.0069, 2.6499e+00, 0.3023, 0.0221, -4.7661e-01, 2.2657e+04, 8.65501, collision
4.00, 0.10, 0.2850, 0.0081, -1.0499e-01, 0.3925, 0.0225, -9.4294e-02, 0.3478, 0.0185, 2.3581e+00, 4.1934e+03, 1.55197, collision
3.91, 0.07, 0.2849, 0.0130, 4.2453e-01, 0.2724, 0.0043, -2.2312e-01, 0.2044, 0.0083, 2.5526e-02, 6.6841e+03, 2.54347, collision
4.54, 0.17, 0.2172, 0.0259, -1.9348e-01, 0.3389, 0.1138, 1.0689e+00, 0.2932, 0.0084, -4.9093e+00, 1.9013e+03, 0.68907, collision
5.16, 0.14, 0.2378, 0.0053, -8.4499e-02, 0.3353, 0.0073, 3.3515e-01, 0.2937, 0.0636, 1.6061e-01, 1.2180e+04, 4.48199, collision
4.25, 0.19, 0.0000, 1.0000, -2.9270e-01, 0.0000, 1.0000, 3.6406e+00, 0.0000, 1.0000, 1.9225e-01, 5.1161e+02, 0.21615, collision
6.93, 0.27, 0.5410, 0.0043, -1.0337e-03, 0.3712, 0.0652, -1.0174e-02, 0.4221, 0.0064, 4.6510e-02, 5.1570e+04, 20.76862, d<R_roche
7.86, 0.26, 0.5422, 0.0806, -1.7254e-02, 0.4458, 0.0339, 4.3847e-02, 0.2716, 0.0524, -2.5227e-03, 7.6741e+04, 31.13891, d<R_roche
4.59, 0.10, 0.2562, 0.0014, -1.1490e-01, 0.2322, 0.0019, -5.1890e-02, 0.2009, 0.0252, 3.1190e+00, 9.0738e+04, 31.28062, collision
10.73, 0.08, 0.0762, 0.0762, -7.2821e-04, 0.0356, 0.0356, -3.6947e-02, 136344.1421, 1.0000, -1.0011e+00, 8.5381e+02, 0.29018, a<0
8.55, 0.02, 0.0243, 0.0192, -1.7773e-04, 0.0276, 0.0023, 5.6225e-03, 0.0657, 0.0004, 1.8620e-02, 1.0000e+05, 31.90435, tmax
9.44, 0.04, 0.0618, 0.0393, 1.4449e-04, 0.0484, 0.0002, 1.7005e-02, 0.1428, 0.0030, 2.2306e-02, 1.0000e+05, 32.07052, tmax
4.74, 0.25, 0.4680, 0.1796, -1.7078e-01, 0.4449, 0.0896, 8.7047e-01, 0.4151, 0.2995, -1.6171e-01, 1.3320e+03, 0.53357, d<R_roche
7.42, 0.04, 0.0620, 0.0282, -3.6155e-04, 0.0534, 0.0238, 8.9758e-03, 0.0620, 0.0011, -3.3336e-03, 1.0000e+05, 32.17743, tmax
7.39, 0.04, 0.0616, 0.0291, 1.4040e-04, 0.0532, 0.0258, -2.7095e-03, 0.0595, 0.0010, 4.5848e-03, 1.0000e+05, 32.21584, tmax
5.91, 0.02, 0.0233, 0.0003, -7.2512e-05, 0.0302, 0.0002, 1.2940e-02, 0.0457, 0.0012, -1.0810e-02, 1.0000e+05, 32.24887, tmax
6.45, 0.05, 0.0511, 0.0148, 1.2563e-04, 0.0605, 0.0132, 1.2390e-02, 0.0840, 0.0242, -9.1276e-03, 1.0000e+05, 32.35647, tmax
4.51, 0.24, 0.0000, 1.0000, -4.8533e-02, 0.0000, 1.0000, 2.9629e-01, 0.0000, 1.0000, 5.9495e-02, 5.1215e+02, 0.19971, collision
4.21, 0.18, 0.0000, 1.0000, -6.2636e-02, 0.0000, 1.0000, 7.1873e-01, 0.0000, 1.0000, -4.0792e-02, 1.9913e+02, 0.07798, collision
6.50, 0.03, 0.0313, 0.0110, 2.8006e-04, 0.0398, 0.0081, -1.6376e-03, 0.0545, 0.0058, 5.8451e-03, 1.0000e+05, 32.03373, tmax
5.07, 0.01, 0.0187, 0.0001, -5.8876e-04, 0.0259, 0.0002, 4.1354e-03, 0.0303, 0.0005, -4.4221e-03, 1.0000e+05, 32.63934, tmax
10.14, 0.23, 0.2322, 0.2322, 7.3223e-05, 0.2102, 0.2102, 2.0328e-02, 0.4040, 0.4040, 5.2320e-02, 8.5381e+02, 0.34760, a>0.4R_H
5.39, 0.00, 0.0107, 0.0001, 8.5285e-04, 0.0178, 0.0002, 1.2777e-02, 0.0233, 0.0001, 1.8971e-03, 1.0000e+05, 32.48003, tmax
7.28, 0.05, 0.0756, 0.0404, -2.0160e-04, 0.0675, 0.0354, 5.3451e-03, 0.0716, 0.0008, 1.8160e-02, 1.0000e+05, 32.88893, tmax
4.93, 0.03, 0.0414, 0.0005, 1.7767e-05, 0.0499, 0.0001, -6.2576e-04, 0.0624, 0.0077, 2.2267e-03, 1.0000e+05, 32.86457, tmax
5.96, 0.06, 0.0660, 0.0007, -2.2118e-04, 0.0697, 0.0047, 9.2466e-04, 0.1107, 0.0358, 1.0387e-03, 1.0000e+05, 32.56087, tmax
5.10, 0.02, 0.0282, 0.0003, 1.8072e-03, 0.0350, 0.0003, 1.2773e-02, 0.0446, 0.0006, -2.2909e-03, 1.0000e+05, 32.62108, tmax
6.28, 0.04, 0.0607, 0.0084, 2.5221e-04, 0.0636, 0.0010, -1.4258e-03, 0.0631, 0.0009, 7.5469e-04, 1.0000e+05, 32.55076, tmax
