# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, eM3_max, eM3_min, dA3_over_A0, eM4_max, eM4_min, dA4_over_A0, eM5_max, eM5_min, dA5_over_A0, t_end(PM), wall_time, fate
3.79, 0.00, 0.0000, 1.0000, -1.7174e-02, 0.0000, 1.0000, 5.8269e-03, 0.0000, 1.0000, -6.4454e-02, 0.0000, 1.0000, 1.5801e-01, 0.0000, 1.0000, 3.2127e-03, 1.2597e+01, 0.03329, collision
3.77, 0.00, 0.0000, 1.0000, -2.1373e-02, 0.0000, 1.0000, -3.8900e-03, 0.0000, 1.0000, -2.9386e-02, 0.0000, 1.0000, -8.6322e-02, 0.0000, 1.0000, 3.4093e-01, 1.6230e+01, 0.03349, collision
3.81, 0.00, 0.0000, 1.0000, -1.5577e-02, 0.0000, 1.0000, 4.4510e-03, 0.0000, 1.0000, -4.6387e-02, 0.0000, 1.0000, 1.1562e-01, 0.0000, 1.0000, 3.0594e-03, 1.2572e+01, 0.03306, collision
3.95, 0.00, 0.0000, 1.0000, -1.3200e-02, 0.0000, 1.0000, 7.4045e-04, 0.0000, 1.0000, 7.1853e-03, 0.0000, 1.0000, 5.0318e-02, 0.0000, 1.0000, 1.0888e-02, 1.9088e+01, 0.03145, collision
3.94, 0.00, 0.0000, 1.0000, -1.3987e-02, 0.0000, 1.0000, 4.4699e-04, 0.0000, 1.0000, 8.8751e-02, 0.0000, 1.0000, -5.0094e-02, 0.0000, 1.0000, 1.2287e-02, 1.9060e+01, 0.03155, collision
3.72, 0.00, 0.0000, 1.0000, -3.7758e-02, 0.0000, 1.0000, 4.8898e-02, 0.0000, 1.0000, 3.5003e-02, 0.0000, 1.0000, -1.4796e-02, 0.0000, 1.0000, 3.7362e-03, 1.8165e+01, 0.03400, collision
3.96, 0.00, 0.0000, 1.0000, -1.2431e-02, 0.0000, 1.0000, 2.9736e-04, 0.0000, 1.0000, -4.5680e-02, 0.0000, 1.0000, 1.1275e-01, 0.0000, 1.0000, 9.6956e-03, 1.9170e+01, 0.03152, collision
3.50, 0.00, 0.0000, 1.0000, -1.4706e-03, 0.0000, 1.0000, -7.7982e-03, 0.0000, 1.0000, -1.0717e-01, 0.0000, 1.0000, 2.8384e-01, 0.0000, 1.0000, 2.1232e-03, 2.0285e+01, 0.03907, collision
3.54, 0.00, 0.0000, 1.0000, -3.8430e-02, 0.0000, 1.0000, 4.4796e-02, 0.0000, 1.0000, 1.6848e-02, 0.0000, 1.0000, 1.1157e-02, 0.0000, 1.0000, 4.3002e-03, 2.1233e+01, 0.04025, collision
3.53, 0.00, 0.0000, 1.0000, 2.5069e-01, 0.0000, 1.0000, -1.9337e-01, 0.0000, 1.0000, 1.5240e-02, 0.0000, 1.0000, 1.7910e-02, 0.0000, 1.0000, 4.4679e-03, 2.1381e+01, 0.04034, collision
