# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, t_end(PM), wall_time, fate
8.96, 0.00, 0.0001, 0.0001, 2.8701e-04, 37976.2558, 1.0000, -1.0027e+00, 8.5381e+02, 0.63597, a<0
9.00, 0.00, 0.0001, 0.0001, 2.8708e-04, 71881.1686, 1.0000, -1.0017e+00, 8.5381e+02, 0.59589, a<0
8.93, 0.00, 0.0033, 0.0033, 9.2344e-05, 52499.1231, 1.0000, -1.0022e+00, 8.5381e+02, 0.55942, a<0
8.59, 0.00, 0.0003, 0.0001, 3.9588e-04, 0.2390, 0.0535, 2.2367e-01, 1.0929e+03, 0.66679, a>0.4R_H
8.78, 0.00, 0.0002, 0.0001, 3.2512e-04, 0.3166, 0.2747, 2.5226e-02, 8.8797e+02, 0.73537, a>0.4R_H
8.99, 0.00, 0.0001, 0.0001, 2.8707e-04, 66849.9046, 1.0000, -1.0018e+00, 8.5381e+02, 0.91310, a<0
4.33, 0.00, 0.5799, 0.0002, -1.0863e-01, 0.7776, 0.0002, 2.1074e+00, 4.5638e+05, 257.00970, d<R_roche
4.30, 0.00, 0.6263, 0.0004, -2.0489e-01, 0.5653, 0.0003, 1.4050e+00, 7.0088e+05, 392.54731, d<R_roche
4.27, 0.00, 0.5967, 0.0010, -2.1293e-01, 0.7636, 0.0006, -1.4433e+00, 6.6496e+05, 393.52340, collision
3.56, 0.00, 0.2947, 0.0005, 4.6337e-01, 0.2875, 0.0002, 1.0242e+00, 7.4275e+05, 431.52639, collision
3.69, 0.00, 0.3428, 0.0000, 2.0022e-02, 0.2768, 0.0002, -1.6718e+01, 8.2479e+05, 463.16738, collision
3.78, 0.00, 0.6575, 0.0000, -1.8011e-01, 0.7416, 0.0006, 2.8511e+00, 8.8735e+05, 487.89582, d<R_roche
4.44, 0.00, 0.5536, 0.0003, 6.3130e+00, 0.6408, 0.0004, -6.9141e-01, 1.0321e+06, 559.73449, d<R_roche
3.82, 0.00, 0.4617, 0.0002, 1.1154e+00, 0.5580, 0.0001, 6.4268e-02, 1.1705e+06, 625.59934, collision
4.58, 0.00, 0.5869, 0.0001, 2.7140e-02, 0.6885, 0.0005, 1.3356e+00, 1.2784e+06, 652.22801, d<R_roche
3.72, 0.00, 0.3084, 0.0002, 4.6953e-01, 0.3128, 0.0006, 2.4759e+00, 1.1886e+06, 653.78408, collision
4.90, 0.00, 0.6501, 0.0001, -4.3498e-02, 0.7797, 0.0003, 2.7256e+00, 1.6047e+06, 757.51312, d<R_roche
4.02, 0.00, 0.4213, 0.0001, -4.5476e+00, 0.3268, 0.0005, -4.9697e-01, 1.5119e+06, 767.13771, collision
4.66, 0.00, 0.5102, 0.0002, -5.3681e+00, 0.4497, 0.0004, -4.9544e-01, 1.5108e+06, 772.53163, collision
3.95, 0.00, 0.3283, 0.0002, -2.5117e+01, 0.2731, 0.0004, -5.1213e-01, 1.5505e+06, 793.51253, collision
3.98, 0.00, 0.2937, 0.0000, 7.7083e-01, 0.2862, 0.0002, 7.9603e-01, 1.6862e+06, 859.72024, collision
3.99, 0.00, 0.3564, 0.0001, -2.0168e+00, 0.6362, 0.0004, -4.7295e+00, 1.8113e+06, 914.88022, collision
4.29, 0.00, 0.8833, 0.0005, 1.5652e+01, 0.4526, 0.0008, -6.4445e-01, 7.0867e+05, 409.52016, a>0.4R_H
4.17, 0.00, 0.2941, 0.0001, 1.0630e+00, 0.2685, 0.0003, 2.1489e-01, 2.1421e+06, 1019.59317, collision
3.77, 0.00, 0.4846, 0.0000, -1.3663e-01, 96338.0771, 0.0003, -1.0119e+00, 1.0122e+06, 556.14227, a<0
4.20, 0.00, 0.6169, 0.0001, 1.2016e-01, 0.6912, 0.0001, -6.5638e+00, 2.2946e+06, 1079.68337, collision
3.76, 0.00, 0.3125, 0.0002, 7.0718e-01, 0.2358, 0.0003, 2.6883e-01, 8.4377e+05, 466.03004, collision
3.61, 0.00, 0.3169, 0.0006, 7.7607e+00, 0.2724, 0.0008, -4.1985e-01, 7.5023e+05, 433.71994, collision
5.43, 0.00, 0.4522, 0.0001, 2.7653e+00, 0.7821, 0.0002, -2.5486e-01, 3.7550e+06, 1510.35578, collision
5.30, 0.00, 0.7336, 0.0001, -3.6587e-01, 0.6458, 0.0002, 3.1068e+00, 3.8322e+06, 1571.33674, d<R_roche
5.53, 0.00, 0.6773, 0.0003, 1.9815e-01, 0.5325, 0.0001, 1.5105e+00, 4.2216e+06, 1662.55832, d<R_roche
4.16, 0.00, 0.3014, 0.0001, 9.8243e+00, 0.2612, 0.0004, -1.2001e-01, 1.9488e+06, 942.87098, collision
4.55, 0.00, 0.3604, 0.0000, 2.6111e+00, 0.4882, 0.0005, -3.1065e-01, 1.1252e+06, 592.03563, collision
5.61, 0.00, 0.6893, 0.0001, -6.8496e-02, 0.6937, 0.0001, 1.8200e+00, 4.6662e+06, 1811.11164, d<R_roche
