# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, t_end(PM), wall_time, fate
4.03, 0.00, 0.0224, 0.0002, 3.4142e-02, 0.0747, 0.0009, 6.8372e-02, 1.0000e+05, 56.92808, tmax
4.07, 0.00, 0.0224, 0.0002, 3.3401e-02, 0.0749, 0.0005, 4.9797e-02, 1.0000e+05, 56.92944, tmax
3.97, 0.00, 0.0218, 0.0003, 3.3749e-02, 0.0742, 0.0009, 2.6477e-02, 1.0000e+05, 56.95008, tmax
3.91, 0.00, 0.0212, 0.0001, 3.9072e-02, 0.0741, 0.0003, 8.6545e-02, 1.0000e+05, 56.98920, tmax
3.96, 0.00, 0.0217, 0.0001, 3.3702e-02, 0.0737, 0.0004, 2.8120e-02, 1.0000e+05, 56.99240, tmax
4.06, 0.00, 0.0223, 0.0002, 3.7951e-02, 0.0750, 0.0009, 8.5078e-02, 1.0000e+05, 57.02277, tmax
4.00, 0.00, 0.0224, 0.0002, 3.5031e-02, 0.0740, 0.0002, 7.6826e-03, 1.0000e+05, 57.02733, tmax
4.09, 0.00, 0.0224, 0.0003, 3.4937e-02, 0.0751, 0.0001, 1.0271e-02, 1.0000e+05, 57.03648, tmax
3.83, 0.00, 0.0204, 0.0001, 3.2397e-02, 0.0729, 0.0006, 4.4956e-02, 1.0000e+05, 57.04095, tmax
4.04, 0.00, 0.0222, 0.0002, 3.6475e-02, 0.0753, 0.0005, -1.0809e-02, 1.0000e+05, 57.05604, tmax
4.05, 0.00, 0.0224, 0.0002, 3.3762e-02, 0.0743, 0.0007, 6.6887e-02, 1.0000e+05, 57.06516, tmax
3.84, 0.00, 0.0207, 0.0003, 3.7055e-02, 0.0731, 0.0009, 8.2039e-02, 1.0000e+05, 57.07743, tmax
3.82, 0.00, 0.0204, 0.0003, 3.4715e-02, 0.0724, 0.0001, 7.5949e-02, 1.0000e+05, 57.08621, tmax
3.77, 0.00, 0.0231, 0.0001, 3.2913e-02, 0.0726, 0.0003, 3.7292e-02, 1.0000e+05, 57.11125, tmax
