# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, eM3_max, eM3_min, dA3_over_A0, t_end(PM), wall_time, fate
10.19, 0.00, 0.0002, 0.0002, -9.4007e-05, 0.0087, 0.0087, 9.3121e-03, 0.3288, 0.3288, 3.8915e-02, 8.5381e+02, 0.60452, a>0.4R_H
3.85, 0.00, 0.0000, 1.0000, -5.0491e-02, 0.0000, 1.0000, 1.5504e-01, 0.0000, 1.0000, 2.4570e-01, 5.7477e+02, 0.57636, collision
10.15, 0.00, 0.0003, 0.0003, 4.3637e-05, 0.0080, 0.0080, 1.5082e-02, 0.1511, 0.1511, 1.0005e-01, 8.5381e+02, 0.60258, a>0.4R_H
10.55, 0.00, 0.0001, 0.0001, -4.2609e-05, 0.0081, 0.0081, 1.4313e-02, 200515.5151, 1.0000, -1.0009e+00, 8.5381e+02, 0.60885, a<0
9.91, 0.00, 0.0004, 0.0004, 1.4743e-05, 0.0095, 0.0095, -1.8175e-03, 0.0894, 0.0894, 7.3252e-02, 8.5381e+02, 0.60861, a>0.4R_H
10.05, 0.00, 0.0002, 0.0002, 5.3477e-05, 0.0105, 0.0105, 1.5707e-02, 0.2294, 0.2294, 2.3673e-02, 8.5381e+02, 0.60529, a>0.4R_H
10.20, 0.00, 0.0005, 0.0005, 3.3820e-05, 0.0088, 0.0088, -4.8173e-03, 0.3210, 0.3210, 1.2955e-02, 8.5381e+02, 0.60451, a>0.4R_H
10.13, 0.00, 0.0004, 0.0004, -5.3263e-06, 0.0142, 0.0142, -1.5964e-04, 0.0782, 0.0782, 1.6725e-02, 8.5381e+02, 0.60652, a>0.4R_H
9.96, 0.00, 0.0004, 0.0002, 3.1171e-06, 0.0126, 0.0012, 1.3677e-02, 0.2776, 0.0634, 5.5876e-02, 9.9043e+02, 0.80942, a>0.4R_H
9.82, 0.00, 0.0007, 0.0001, 1.2752e-04, 0.0158, 0.0021, 1.6534e-02, 0.2412, 0.0263, 9.6933e-02, 1.7418e+03, 1.23974, a>0.4R_H
10.82, 0.00, 0.0043, 0.0043, -1.3604e-03, 0.0219, 0.0219, 2.6300e-02, 163496.9355, 1.0000, -1.0009e+00, 8.5381e+02, 0.60605, a<0
3.96, 0.00, 0.2433, 0.0013, 5.3156e-01, 0.2781, 0.0004, -3.0976e-01, 0.2092, 0.0001, 8.3445e-02, 1.3529e+05, 105.30485, collision
3.91, 0.00, 0.3557, 0.0008, 1.4538e+00, 0.2543, 0.0008, -4.6758e-01, 0.1952, 0.0013, 2.6920e-01, 1.8286e+05, 142.55123, collision
5.22, 0.00, 0.3656, 0.0004, 4.3729e+00, 0.4129, 0.0003, 1.2694e+00, 0.5223, 0.0002, -7.3572e-01, 2.0046e+05, 145.45023, collision
4.24, 0.00, 0.3193, 0.0004, -2.3658e-01, 0.4465, 0.0001, 1.1768e+00, 0.3281, 0.0004, 3.8297e-01, 2.8737e+05, 209.38127, collision
6.16, 0.00, 0.4488, 0.0011, 1.5518e+00, 0.5602, 0.0020, -5.0768e-01, 0.3034, 0.0003, 1.6672e-01, 4.4045e+05, 337.28638, collision
6.23, 0.00, 0.4320, 0.0006, -1.0186e-01, 0.7489, 0.0001, 7.0651e+00, 0.4014, 0.0003, -5.4252e-01, 4.9173e+05, 367.82770, a>0.4R_H
9.81, 0.00, 0.0021, 0.0001, 4.3995e-04, 0.0142, 0.0006, 1.6682e-02, 0.2325, 0.0220, 1.0446e-01, 1.1680e+04, 8.27456, a>0.4R_H
6.33, 0.00, 0.3473, 0.0000, -3.3169e-03, 0.3992, 0.0001, 4.0648e+00, 0.4021, 0.0001, -4.9165e-01, 1.2724e+06, 902.50205, collision
4.05, 0.00, 0.2641, 0.0010, 1.6180e-01, 0.2315, 0.0010, -6.6520e-02, 0.2026, 0.0014, 5.8125e-02, 1.5568e+05, 117.43547, collision
6.41, 0.00, 0.5788, 0.0000, -1.1797e-01, 0.8732, 0.0000, 2.6100e-01, 0.7051, 0.0001, 5.7317e-01, 1.4561e+06, 1049.29234, d<R_roche
4.39, 0.00, 0.5034, 0.0002, -1.0852e-01, 0.5223, 0.0002, 2.0112e-01, 0.2476, 0.0001, 2.2091e-01, 1.5116e+06, 1070.00125, d<R_roche
4.38, 0.00, 0.2687, 0.0001, 4.7177e-03, 0.2529, 0.0001, 5.5160e-01, 0.2179, 0.0002, -1.6593e-01, 1.6123e+06, 1139.41582, collision
