# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, t_end(PM), wall_time, fate
4.07, 0.00, 0.1106, 0.0004, 1.7068e-01, 0.1019, 0.0009, 1.0620e-01, 1.0000e+05, 50.70014, tmax
4.09, 0.00, 0.0970, 0.0001, 1.6405e-01, 0.0926, 0.0003, 4.8769e-02, 1.0000e+05, 50.71481, tmax
4.03, 0.00, 0.1333, 0.0003, 1.6158e-01, 0.1087, 0.0002, 6.8265e-02, 1.0000e+05, 50.81811, tmax
4.04, 0.00, 0.1244, 0.0007, 1.6802e-01, 0.1046, 0.0010, 9.2259e-02, 1.0000e+05, 50.90078, tmax
4.05, 0.00, 0.1307, 0.0005, 1.6557e-01, 0.1139, 0.0005, 1.5791e-02, 1.0000e+05, 50.94493, tmax
4.06, 0.00, 0.1170, 0.0005, 1.6706e-01, 0.1046, 0.0005, 1.0886e-02, 1.0000e+05, 50.99108, tmax
4.02, 0.00, 0.1439, 0.0005, 1.5970e-01, 0.1242, 0.0001, 9.7501e-02, 1.0000e+05, 51.18785, tmax
4.00, 0.00, 0.1475, 0.0001, 1.6051e-01, 0.1173, 0.0004, 5.9589e-02, 1.0000e+05, 51.27054, tmax
4.08, 0.00, 0.1021, 0.0004, 1.6811e-01, 0.0911, 0.0008, 1.3814e-02, 1.0000e+05, 51.38952, tmax
4.01, 0.00, 0.1314, 0.0002, 1.6705e-01, 0.1107, 0.0009, 1.1037e-01, 1.0000e+05, 51.49619, tmax
3.98, 0.00, 0.1555, 0.0005, 1.6914e-01, 0.1192, 0.0004, 1.1111e-01, 1.0000e+05, 51.51426, tmax
3.99, 0.00, 0.1452, 0.0003, 1.6063e-01, 0.1191, 0.0008, 1.0614e-01, 1.0000e+05, 51.63865, tmax
3.96, 0.00, 0.1747, 0.0006, 1.6290e-01, 0.1368, 0.0009, 1.7301e-02, 1.0000e+05, 51.74272, tmax
3.95, 0.00, 0.1714, 0.0002, 1.5971e-01, 0.1344, 0.0003, 7.3082e-02, 1.0000e+05, 51.83725, tmax
3.97, 0.00, 0.1633, 0.0006, 1.6149e-01, 0.1382, 0.0009, 9.8445e-02, 1.0000e+05, 52.19816, tmax
3.94, 0.00, 0.1736, 0.0002, 1.6435e-01, 0.1314, 0.0013, 1.7551e-02, 1.0000e+05, 52.34137, tmax
3.92, 0.00, 0.1831, 0.0002, 1.6343e-01, 0.1485, 0.0006, 3.7750e-02, 1.0000e+05, 52.36149, tmax
3.93, 0.00, 0.1821, 0.0003, 1.6245e-01, 0.1388, 0.0004, 1.1798e-01, 1.0000e+05, 52.36479, tmax
3.90, 0.00, 0.1949, 0.0003, 1.5794e-01, 0.1426, 0.0004, 1.0406e-01, 1.0000e+05, 52.48476, tmax
3.91, 0.00, 0.1910, 0.0002, 1.6330e-01, 0.1391, 0.0007, 1.2803e-01, 1.0000e+05, 52.58853, tmax
3.88, 0.00, 0.1940, 0.0004, 1.6184e-01, 0.1342, 0.0004, 3.7753e-02, 1.0000e+05, 52.90208, tmax
3.86, 0.00, 0.2091, 0.0005, 1.6560e-01, 0.1451, 0.0011, 5.1290e-02, 1.0000e+05, 53.15359, tmax
3.87, 0.00, 0.2060, 0.0005, 1.6080e-01, 0.1531, 0.0003, 5.6170e-02, 1.0000e+05, 53.47209, tmax
3.89, 0.00, 0.2008, 0.0003, 1.6230e-01, 0.1411, 0.0002, 9.7166e-02, 1.0000e+05, 53.67412, tmax
3.84, 0.00, 0.2173, 0.0007, 1.6053e-01, 0.1474, 0.0013, 7.9584e-02, 1.0000e+05, 53.69522, tmax
3.83, 0.00, 0.2212, 0.0005, 1.6622e-01, 0.1584, 0.0005, 1.5611e-01, 1.0000e+05, 53.76263, tmax
3.85, 0.00, 0.2111, 0.0002, 1.6370e-01, 0.1477, 0.0008, 3.6269e-02, 1.0000e+05, 53.79779, tmax
3.82, 0.00, 0.2239, 0.0002, 1.6706e-01, 0.1446, 0.0006, 1.5333e-01, 1.0000e+05, 54.09420, tmax
3.81, 0.00, 0.2365, 0.0003, 1.6534e-01, 0.1619, 0.0008, 1.6330e-01, 1.0000e+05, 54.19549, tmax
3.50, 0.00, 0.3635, 0.0090, 1.0724e+00, 0.2773, 0.0030, 3.0607e-01, 8.9878e+04, 54.30434, collision
3.79, 0.00, 0.2367, 0.0006, 1.6358e-01, 0.1641, 0.0016, 1.4832e-01, 1.0000e+05, 54.76202, tmax
3.78, 0.00, 0.2418, 0.0003, 1.6576e-01, 0.1667, 0.0010, 7.3971e-02, 1.0000e+05, 54.87536, tmax
3.80, 0.00, 0.2376, 0.0003, 1.6438e-01, 0.1603, 0.0015, 6.8026e-02, 1.0000e+05, 54.92191, tmax
3.76, 0.00, 0.2487, 0.0004, 1.6535e-01, 0.1858, 0.0006, 1.6503e-01, 1.0000e+05, 55.05268, tmax
3.53, 0.00, 0.4631, 0.0017, -3.1737e-01, 1265.1598, 0.0020, -1.2212e+00, 9.2519e+04, 55.08366, a<0
3.77, 0.00, 0.2477, 0.0002, 1.5856e-01, 0.1762, 0.0007, 1.4479e-01, 1.0000e+05, 55.17943, tmax
3.52, 0.00, 0.3049, 0.0034, 7.1756e+00, 0.2689, 0.0021, -4.4186e-01, 9.2689e+04, 55.21404, collision
3.75, 0.00, 0.2555, 0.0006, 1.6397e-01, 0.1904, 0.0006, 1.6715e-01, 1.0000e+05, 55.67588, tmax
3.72, 0.00, 0.2559, 0.0007, 1.6867e-01, 0.2106, 0.0005, 1.6159e-01, 1.0000e+05, 55.95049, tmax
3.71, 0.00, 0.2666, 0.0006, 1.6918e-01, 0.2278, 0.0011, 9.7795e-02, 1.0000e+05, 56.01334, tmax
3.74, 0.00, 0.2550, 0.0005, 1.6727e-01, 0.1887, 0.0002, 8.4089e-02, 1.0000e+05, 56.02590, tmax
3.73, 0.00, 0.2623, 0.0008, 1.6287e-01, 0.2139, 0.0010, 1.3234e-01, 1.0000e+05, 56.24762, tmax
3.70, 0.00, 0.2695, 0.0007, 1.6359e-01, 0.2295, 0.0020, 1.4983e-01, 1.0000e+05, 56.27267, tmax
3.69, 0.00, 0.2635, 0.0003, 1.6580e-01, 0.2270, 0.0015, 1.6639e-01, 1.0000e+05, 56.81415, tmax
3.67, 0.00, 0.2612, 0.0013, 1.6880e-01, 0.2250, 0.0010, 1.7604e-01, 1.0000e+05, 56.81891, tmax
3.66, 0.00, 0.2643, 0.0008, 1.6097e-01, 0.2310, 0.0013, 1.9104e-01, 1.0000e+05, 56.99846, tmax
3.55, 0.00, 0.4003, 0.0037, -4.0441e-01, 0.2772, 0.0010, 3.8275e+00, 9.6310e+04, 57.17304, d<R_roche
3.68, 0.00, 0.2595, 0.0007, 1.7194e-01, 0.2227, 0.0018, 2.1142e-01, 1.0000e+05, 57.19532, tmax
3.62, 0.00, 0.2659, 0.0006, 1.6948e-01, 0.2481, 0.0007, 2.3075e-01, 1.0000e+05, 57.52992, tmax
3.64, 0.00, 0.2730, 0.0007, 1.6755e-01, 0.2478, 0.0017, 1.5804e-01, 1.0000e+05, 57.56832, tmax
3.61, 0.00, 0.2669, 0.0008, 1.7074e-01, 0.2507, 0.0015, 1.5246e-01, 1.0000e+05, 57.93751, tmax
3.65, 0.00, 0.2647, 0.0009, 1.7207e-01, 0.2361, 0.0012, 1.1090e-01, 1.0000e+05, 58.01258, tmax
3.63, 0.00, 0.2706, 0.0000, 1.7079e-01, 0.2441, 0.0027, 2.0921e-01, 1.0000e+05, 58.07260, tmax
3.59, 0.00, 0.2746, 0.0011, 1.7588e-01, 0.2610, 0.0026, 1.0640e-01, 1.0000e+05, 58.30469, tmax
3.57, 0.00, 0.2985, 0.0010, 3.6614e-01, 0.2809, 0.0011, -2.9103e+00, 9.9448e+04, 58.52665, collision
3.60, 0.00, 0.2828, 0.0013, 1.6489e-01, 0.2642, 0.0018, 2.2757e-01, 1.0000e+05, 58.54903, tmax
3.56, 0.00, 0.2861, 0.0023, 1.6922e-01, 0.2829, 0.0012, 1.9282e-01, 1.0000e+05, 58.69409, tmax
3.54, 0.00, 0.2798, 0.0022, 1.7701e-01, 0.2783, 0.0010, 1.5092e-01, 1.0000e+05, 59.14682, tmax
3.58, 0.00, 0.2766, 0.0026, 1.7785e-01, 0.2624, 0.0023, 2.2999e-01, 1.0000e+05, 59.26670, tmax
3.51, 0.00, 0.2892, 0.0027, 1.7434e-01, 0.2887, 0.0013, 2.7387e-01, 1.0000e+05, 59.94584, tmax
