# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, eM3_max, eM3_min, dA3_over_A0, eM4_max, eM4_min, dA4_over_A0, eM5_max, eM5_min, dA5_over_A0, t_end(PM), wall_time, fate
3.80, 0.00, 0.0000, 1.0000, -1.6310e-02, 0.0000, 1.0000, 5.0393e-03, 0.0000, 1.0000, -5.7510e-02, 0.0000, 1.0000, 1.4198e-01, 0.0000, 1.0000, 3.1010e-03, 1.2571e+01, 0.01610, collision
3.81, 0.00, 0.0000, 1.0000, -1.5577e-02, 0.0000, 1.0000, 4.4513e-03, 0.0000, 1.0000, -4.6388e-02, 0.0000, 1.0000, 1.1562e-01, 0.0000, 1.0000, 3.0594e-03, 1.2572e+01, 0.01595, collision
3.79, 0.00, 0.0000, 1.0000, -1.7174e-02, 0.0000, 1.0000, 5.8273e-03, 0.0000, 1.0000, -6.4436e-02, 0.0000, 1.0000, 1.5793e-01, 0.0000, 1.0000, 3.2127e-03, 1.2597e+01, 0.01621, collision
3.77, 0.00, 0.0000, 1.0000, -2.1375e-02, 0.0000, 1.0000, -3.9514e-03, 0.0000, 1.0000, -2.9339e-02, 0.0000, 1.0000, -9.1480e-02, 0.0000, 1.0000, 3.5823e-01, 1.6229e+01, 0.02005, collision
3.84, 0.00, 0.0000, 1.0000, -1.6954e-02, 0.0000, 1.0000, -5.1467e-03, 0.0000, 1.0000, -8.0658e-03, 0.0000, 1.0000, -7.7502e-02, 0.0000, 1.0000, 7.4962e-01, 1.6080e+01, 0.01906, collision
3.78, 0.00, 0.0000, 1.0000, -1.8252e-02, 0.0000, 1.0000, 6.9471e-03, 0.0000, 1.0000, -3.7250e-02, 0.0000, 1.0000, 1.1707e-01, 0.0000, 1.0000, 3.4493e-03, 1.2668e+01, 0.01636, collision
3.72, 0.00, 0.0000, 1.0000, -3.6501e-02, 0.0000, 1.0000, 4.7373e-02, 0.0000, 1.0000, 3.4998e-02, 0.0000, 1.0000, -1.4796e-02, 0.0000, 1.0000, 3.7359e-03, 1.8165e+01, 0.02303, collision
3.50, 0.00, 0.0000, 1.0000, -1.4704e-03, 0.0000, 1.0000, -7.7976e-03, 0.0000, 1.0000, -1.0740e-01, 0.0000, 1.0000, 2.8475e-01, 0.0000, 1.0000, 2.1233e-03, 2.0285e+01, 0.02691, collision
3.51, 0.00, 0.0000, 1.0000, -7.9055e-04, 0.0000, 1.0000, -5.9641e-03, 0.0000, 1.0000, -5.6832e-02, 0.0000, 1.0000, 1.2643e-01, 0.0000, 1.0000, 1.6682e-03, 2.0236e+01, 0.02709, collision
3.95, 0.00, 0.0000, 1.0000, -1.3200e-02, 0.0000, 1.0000, 7.4059e-04, 0.0000, 1.0000, 7.2179e-03, 0.0000, 1.0000, 5.0289e-02, 0.0000, 1.0000, 1.0888e-02, 1.9088e+01, 0.02103, collision
3.54, 0.00, 0.0000, 1.0000, -3.8428e-02, 0.0000, 1.0000, 4.4797e-02, 0.0000, 1.0000, 1.6849e-02, 0.0000, 1.0000, 1.1158e-02, 0.0000, 1.0000, 4.3002e-03, 2.1233e+01, 0.02798, collision
3.53, 0.00, 0.0000, 1.0000, 2.5040e-01, 0.0000, 1.0000, -1.9325e-01, 0.0000, 1.0000, 1.5241e-02, 0.0000, 1.0000, 1.7910e-02, 0.0000, 1.0000, 4.4680e-03, 2.1381e+01, 0.02799, collision
3.52, 0.00, 0.0000, 1.0000, 1.2144e-02, 0.0000, 1.0000, -3.6968e-02, 0.0000, 1.0000, -2.0028e-03, 0.0000, 1.0000, 1.0905e-01, 0.0000, 1.0000, -3.9135e-02, 2.5647e+01, 0.03276, collision
3.88, 0.00, 0.0000, 1.0000, -1.7286e-02, 0.0000, 1.0000, 8.4573e-05, 0.0000, 1.0000, -2.0904e-01, 0.0000, 1.0000, 7.8553e-01, 0.0000, 1.0000, 2.5421e-02, 1.9065e+01, 0.02918, collision
3.89, 0.00, 0.0000, 1.0000, -1.6957e-02, 0.0000, 1.0000, -5.4423e-04, 0.0000, 1.0000, 1.4219e-01, 0.0000, 1.0000, -9.7685e-02, 0.0000, 1.0000, 2.3671e-02, 1.9019e+01, 0.02216, collision
3.70, 0.00, 0.0000, 1.0000, -9.9980e-03, 0.0000, 1.0000, 3.6861e-02, 0.0000, 1.0000, 2.1714e-02, 0.0000, 1.0000, -1.4076e-02, 0.0000, 1.0000, 9.8628e-03, 2.9656e+01, 0.04156, collision
3.66, 0.00, 0.0000, 1.0000, -2.1081e-02, 0.0000, 1.0000, 2.3955e-01, 0.0000, 1.0000, -1.6410e-01, 0.0000, 1.0000, 1.7328e-02, 0.0000, 1.0000, 1.4491e-02, 3.5306e+01, 0.04260, collision
3.64, 0.00, 0.0000, 1.0000, 6.3638e-05, 0.0000, 1.0000, -1.1930e-02, 0.0000, 1.0000, 1.4642e-02, 0.0000, 1.0000, 2.0648e-02, 0.0000, 1.0000, 6.4052e-03, 2.1085e+01, 0.02675, collision
3.76, 0.00, 0.0000, 1.0000, -3.1763e-02, 0.0000, 1.0000, 1.1184e-01, 0.0000, 1.0000, -1.4932e-01, 0.0000, 1.0000, -6.1668e-02, 0.0000, 1.0000, 5.4649e-01, 4.8114e+01, 0.05573, collision
3.63, 0.00, 0.0000, 1.0000, -2.7793e-02, 0.0000, 1.0000, 8.0866e-02, 0.0000, 1.0000, -2.4794e-02, 0.0000, 1.0000, 2.9528e-02, 0.0000, 1.0000, 7.2279e-03, 4.0251e+01, 0.04859, collision
